x_c,y_c,Ri,rho,u,v,p,T
-0.251305,0.084783,0,0.116124,208.331,0,10000,300
-0.24934,0.0904005,0,0.116124,208.331,0,10000,300
-0.247249,0.0959725,0,0.116124,208.331,0,10000,300
-0.245033,0.101496,0,0.116124,208.331,0,10000,300
-0.242694,0.106969,0,0.116124,208.331,0,10000,300
-0.240233,0.112387,0,0.116124,208.331,0,10000,300
-0.23765,0.11775,0,0.116124,208.331,0,10000,300
-0.234949,0.123052,0,0.116124,208.331,0,10000,300
-0.232128,0.128293,0,0.116124,208.331,0,10000,300
-0.229191,0.133469,0,0.116124,208.331,0,10000,300
-0.226139,0.138578,0,0.116124,208.331,0,10000,300
-0.222972,0.143617,0,0.116124,208.331,0,10000,300
-0.219694,0.148584,0,0.116124,208.331,0,10000,300
-0.216304,0.153476,0,0.116124,208.331,0,10000,300
-0.212806,0.158291,0,0.116124,208.331,0,10000,300
-0.209201,0.163026,0,0.116124,208.331,0,10000,300
-0.205491,0.167679,0,0.116124,208.331,0,10000,300
-0.201676,0.172248,0,0.116124,208.331,0,10000,300
-0.197761,0.176729,0,0.116124,208.331,0,10000,300
-0.193745,0.181123,0,0.116124,208.331,0,10000,300
-0.189632,0.185424,0,0.116124,208.331,0,10000,300
-0.185424,0.189633,0,0.116124,208.331,0,10000,300
-0.181123,0.193746,0,0.116124,208.331,0,10000,300
-0.176729,0.197761,0,0.116124,208.331,0,10000,300
-0.172248,0.201676,0,0.116124,208.331,0,10000,300
-0.167679,0.205491,0,0.116124,208.331,0,10000,300
-0.163026,0.209201,0,0.116124,208.331,0,10000,300
-0.158291,0.212806,0,0.116124,208.331,0,10000,300
-0.153476,0.216304,0,0.116124,208.331,0,10000,300
-0.148584,0.219694,0,0.116124,208.331,0,10000,300
-0.143617,0.222972,0,0.116124,208.331,0,10000,300
-0.138578,0.226139,0,0.116124,208.331,0,10000,300
-0.133469,0.229191,0,0.116124,208.331,0,10000,300
-0.128293,0.232128,0,0.116124,208.331,0,10000,300
-0.123052,0.234949,0,0.116124,208.331,0,10000,300
-0.11775,0.23765,0,0.116124,208.331,0,10000,300
-0.112387,0.240233,0,0.116124,208.331,0,10000,300
-0.106969,0.242694,0,0.116124,208.331,0,10000,300
-0.101496,0.245033,0,0.116124,208.331,0,10000,300
-0.0959725,0.247249,0,0.116124,208.331,0,10000,300
-0.0904005,0.24934,0,0.116124,208.331,0,10000,300
-0.084783,0.251306,0,0.116124,208.331,0,10000,300
-0.0791228,0.253144,0,0.116124,208.331,0,10000,300
-0.0734228,0.254856,0,0.116124,208.331,0,10000,300
-0.0676858,0.256439,0,0.116124,208.331,0,10000,300
-0.0619148,0.257894,0,0.116124,208.331,0,10000,300
-0.0561126,0.259218,0,0.116124,208.331,0,10000,300
-0.0502821,0.260412,0,0.116124,208.331,0,10000,300
-0.0444263,0.261474,0,0.116124,208.331,0,10000,300
-0.0385482,0.262406,0,0.116124,208.331,0,10000,300
-0.0326506,0.263205,0,0.116124,208.331,0,10000,300
-0.0267365,0.263871,0,0.116124,208.331,0,10000,300
-0.0208091,0.264404,0,0.116124,208.331,0,10000,300
-0.0148711,0.264805,0,0.116124,208.331,0,10000,300
-0.00892567,0.265072,0,0.116124,208.331,0,10000,300
-0.00297572,0.265205,0,0.116124,208.331,0,10000,300
-0.221004,0.00247977,0,0.116124,208.331,0,10000,300
-0.220893,0.00743805,0,0.116124,208.331,0,10000,300
-0.22067,0.0123926,0,0.116124,208.331,0,10000,300
-0.220337,0.0173409,0,0.116124,208.331,0,10000,300
-0.219892,0.0222804,0,0.116124,208.331,0,10000,300
-0.219337,0.0272088,0,0.116124,208.331,0,10000,300
-0.218671,0.0321234,0,0.116124,208.331,0,10000,300
-0.217895,0.0370219,0,0.116124,208.331,0,10000,300
-0.21701,0.0419017,0,0.116124,208.331,0,10000,300
-0.216015,0.0467604,0,0.116124,208.331,0,10000,300
-0.214911,0.0515956,0,0.116124,208.331,0,10000,300
-0.213699,0.0564048,0,0.116124,208.331,0,10000,300
-0.21238,0.0611856,0,0.116124,208.331,0,10000,300
-0.210953,0.0659356,0,0.116124,208.331,0,10000,300
-0.209421,0.0706524,0,0.116124,208.331,0,10000,300
-0.207783,0.0753336,0,0.116124,208.331,0,10000,300
-0.20604,0.0799769,0,0.116124,208.331,0,10000,300
-0.204194,0.0845799,0,0.116124,208.331,0,10000,300
-0.202245,0.0891403,0,0.116124,208.331,0,10000,300
-0.200194,0.093656,0,0.116124,208.331,0,10000,300
-0.198042,0.0981244,0,0.116124,208.331,0,10000,300
-0.19579,0.102543,0,0.116124,208.331,0,10000,300
-0.19344,0.106911,0,0.116124,208.331,0,10000,300
-0.190993,0.111224,0,0.116124,208.331,0,10000,300
-0.188449,0.115482,0,0.116124,208.331,0,10000,300
-0.18581,0.119681,0,0.116124,208.331,0,10000,300
-0.183078,0.12382,0,0.116124,208.331,0,10000,300
-0.180253,0.127896,0,0.116124,208.331,0,10000,300
-0.177338,0.131909,0,0.116124,208.331,0,10000,300
-0.174334,0.135855,0,0.116124,208.331,0,10000,300
-0.171242,0.139733,0,0.116124,208.331,0,10000,300
-0.168064,0.14354,0,0.116124,208.331,0,10000,300
-0.164801,0.147275,0,0.116124,208.331,0,10000,300
-0.161454,0.150935,0,0.116124,208.331,0,10000,300
-0.158027,0.15452,0,0.116124,208.331,0,10000,300
-0.15452,0.158027,0,0.116124,208.331,0,10000,300
-0.150935,0.161454,0,0.116124,208.331,0,10000,300
-0.147275,0.164801,0,0.116124,208.331,0,10000,300
-0.14354,0.168064,0,0.116124,208.331,0,10000,300
-0.139733,0.171242,0,0.116124,208.331,0,10000,300
-0.135855,0.174334,0,0.116124,208.331,0,10000,300
-0.131909,0.177338,0,0.116124,208.331,0,10000,300
-0.127896,0.180254,0,0.116124,208.331,0,10000,300
-0.12382,0.183078,0,0.116124,208.331,0,10000,300
-0.119681,0.18581,0,0.116124,208.331,0,10000,300
-0.115482,0.188449,0,0.116124,208.331,0,10000,300
-0.111224,0.190993,0,0.116124,208.331,0,10000,300
-0.106911,0.19344,0,0.116124,208.331,0,10000,300
-0.102543,0.19579,0,0.116124,208.331,0,10000,300
-0.0981244,0.198042,0,0.116124,208.331,0,10000,300
-0.093656,0.200194,0,0.116124,208.331,0,10000,300
-0.0891403,0.202245,0,0.116124,208.331,0,10000,300
-0.0845799,0.204194,0,0.116124,208.331,0,10000,300
-0.0799769,0.20604,0,0.116124,208.331,0,10000,300
-0.0753336,0.207783,0,0.116124,208.331,0,10000,300
-0.0706524,0.209421,0,0.116124,208.331,0,10000,300
-0.0659356,0.210953,0,0.116124,208.331,0,10000,300
-0.0611856,0.21238,0,0.116124,208.331,0,10000,300
-0.0564048,0.213699,0,0.116124,208.331,0,10000,300
-0.0515956,0.214911,0,0.116124,208.331,0,10000,300
-0.0467604,0.216015,0,0.116124,208.331,0,10000,300
-0.0419017,0.21701,0,0.116124,208.331,0,10000,300
-0.0370219,0.217895,0,0.116124,208.331,0,10000,300
-0.0321234,0.218671,0,0.116124,208.331,0,10000,300
-0.0272088,0.219337,0,0.116124,208.331,0,10000,300
-0.0222804,0.219892,0,0.116124,208.331,0,10000,300
-0.0173409,0.220337,0,0.116124,208.331,0,10000,300
-0.0123926,0.22067,0,0.116124,208.331,0,10000,300
-0.00743805,0.220893,0,0.116124,208.331,0,10000,300
-0.00247977,0.221004,0,0.116124,208.331,0,10000,300
-0.18417,0.00206647,0,0.116124,208.331,0,10000,300
-0.184077,0.00619836,0,0.116124,208.331,0,10000,300
-0.183892,0.0103271,0,0.116124,208.331,0,10000,300
-0.183614,0.0144507,0,0.116124,208.331,0,10000,300
-0.183243,0.018567,0,0.116124,208.331,0,10000,300
-0.18278,0.0226739,0,0.116124,208.331,0,10000,300
-0.182226,0.0267695,0,0.116124,208.331,0,10000,300
-0.181579,0.0308515,0,0.116124,208.331,0,10000,300
-0.180841,0.034918,0,0.116124,208.331,0,10000,300
-0.180012,0.038967,0,0.116124,208.331,0,10000,300
-0.179092,0.0429963,0,0.116124,208.331,0,10000,300
-0.178083,0.047004,0,0.116124,208.331,0,10000,300
-0.176983,0.0509879,0,0.116124,208.331,0,10000,300
-0.175794,0.0549463,0,0.116124,208.331,0,10000,300
-0.174517,0.0588769,0,0.116124,208.331,0,10000,300
-0.173152,0.0627779,0,0.116124,208.331,0,10000,300
-0.1717,0.0666473,0,0.116124,208.331,0,10000,300
-0.170161,0.0704832,0,0.116124,208.331,0,10000,300
-0.168537,0.0742835,0,0.116124,208.331,0,10000,300
-0.166828,0.0780465,0,0.116124,208.331,0,10000,300
-0.165035,0.0817701,0,0.116124,208.331,0,10000,300
