x,y,index
-0.261483,0.228451,174
-0.256291,0.23426,175
-0.25097,0.239952,176
-0.245523,0.245523,177
-0.239952,0.25097,178
-0.23426,0.256291,179
-0.228451,0.261483,180
-0.222526,0.266543,181
-0.216489,0.271469,182
-0.210343,0.276258,183
-0.204092,0.280908,184
-0.197737,0.285417,185
-0.191283,0.289782,186
-0.184733,0.294001,187
-0.17809,0.298072,188
-0.171357,0.301993,189
-0.164538,0.305762,190
-0.157635,0.309377,191
-0.150654,0.312836,192
-0.143597,0.316138,193
-0.136467,0.31928,194
-0.129268,0.322262,195
-0.122005,0.325081,196
-0.11468,0.327737,197
-0.107297,0.330228,198
-0.0998608,0.332552,199
-0.0923738,0.334709,200
-0.0848403,0.336697,201
-0.0772641,0.338516,202
-0.069649,0.340165,203
-0.0619988,0.341642,204
-0.0543175,0.342947,205
-0.0466087,0.344079,206
-0.0388765,0.345039,207
-0.0311247,0.345824,208
-0.0233573,0.346435,209
-0.015578,0.346872,210
-0.00779098,0.347134,211
-0,0.347222,212
-0.289351,1.77177e-17,213
-0.289278,0.00649248,214
-0.28906,0.0129817,215
-0.288696,0.0194644,216
-0.288186,0.0259372,217
-0.287532,0.0323971,218
-0.286733,0.0388406,219
-0.285789,0.0452645,220
-0.284701,0.0516657,221
-0.28347,0.0580408,222
-0.282097,0.0643867,223
-0.280581,0.0707002,224
-0.278924,0.0769781,225
-0.277126,0.0832172,226
-0.275189,0.0894145,227
-0.273114,0.0955667,228
-0.270901,0.101671,229
-0.268551,0.107724,230
-0.266067,0.113722,231
-0.263448,0.119664,232
-0.260696,0.125545,233
-0.257814,0.131363,234
-0.254801,0.137114,235
-0.251661,0.142797,236
-0.248393,0.148408,237
-0.245001,0.153944,238
-0.241485,0.159403,239
-0.237847,0.164781,240
-0.23409,0.170076,241
-0.230215,0.175286,242
-0.226224,0.180408,243
-0.222119,0.185438,244
-0.217902,0.190375,245
-0.213576,0.195217,246
-0.209142,0.19996,247
-0.204602,0.204602,248
-0.19996,0.209142,249
-0.195217,0.213576,250
-0.190375,0.217902,251
-0.185438,0.222119,252
-0.180408,0.226224,253
-0.175286,0.230215,254
-0.170076,0.23409,255
-0.164781,0.237847,256
-0.159403,0.241485,257
-0.153944,0.245001,258
-0.148408,0.248393,259
-0.142797,0.251661,260
-0.137114,0.254801,261
-0.131363,0.257814,262
-0.125545,0.260696,263
-0.119664,0.263448,264
-0.113722,0.266067,265
-0.107724,0.268551,266
-0.101671,0.270901,267
-0.0955667,0.273114,268
